tempo_s;tDHT_C;hDHT_%;ax;ay;az;gx;gy;gz;tBMP_C;pBMP_hPa;gas_ppm
25621;31.40;41.2;0;0.05;-0.35;9.64;-1.98;0.04;1.58;27.38;973.9;0.1
25641;31.50;41.2;2419;0.04;-0.38;9.55;8.82;-0.23;2.04;27.43;973.9;0.1
25662;31.50;41.2;0;-0.02;-0.42;9.61;8.25;-0.76;3.27;27.44;973.9;0.1
25682;31.50;41.2;2475;0.02;-0.34;9.65;-3.11;-0.01;1.53;27.47;974.0;0.1
25703;31.50;41.1;0;0.03;-0.39;9.70;7.37;0.88;0.96;27.49;974.0;0.1
25723;31.60;41.1;2550;0.04;-0.38;9.59;7.38;-2.07;2.00;27.52;973.9;0.1
25744;31.60;41.1;0;-0.04;-0.33;9.60;3.95;-0.83;1.31;27.54;973.9;0.1
25764;31.60;41.0;2525;0.12;-0.39;9.55;-12.29;0.04;-3.04;27.56;973.9;0.1
25785;31.70;40.9;0;-0.03;-0.41;9.64;-1.87;-1.01;0.44;27.59;973.9;0.1
25805;31.70;40.8;2550;-0.01;-0.38;9.62;7.75;-0.07;1.86;27.61;974.0;0.1
25825;31.80;40.9;0;-0.01;-0.34;9.58;-17.76;1.29;-0.79;27.64;973.9;0.1
25845;31.80;40.8;2531;0.03;-0.34;9.67;3.17;-0.53;1.60;27.67;973.9;0.1
25866;31.80;40.8;0;-0.02;-0.45;9.57;-1.28;0.54;-1.59;27.69;974.0;0.1
25886;31.80;40.8;2444;0.01;-0.33;9.70;32.58;2.04;10.31;27.73;973.9;0.1
25907;31.90;40.8;0;-0.04;-0.37;9.56;3.90;-8.08;3.69;27.76;974.0;0.1
25927;31.90;40.8;2438;0.06;-0.38;9.65;3.01;2.62;3.96;27.79;973.9;0.1
25948;31.90;40.7;0;0.01;-0.42;9.65;11.13;-0.33;4.09;27.82;973.9;0.1
25968;31.90;40.7;2488;0.09;-0.35;9.63;-0.92;-0.33;0.01;27.85;973.8;0.1
25989;31.90;40.7;0;-0.01;-0.37;9.66;-11.79;-0.15;-1.46;27.87;973.9;0.1
26009;31.90;40.7;2525;0.01;-0.46;9.64;-9.13;0.31;-0.86;27.91;973.9;0.1
26030;32.00;40.7;0;0.04;-0.40;9.65;1.83;1.05;1.48;27.94;973.9;0.1
26050;32.00;40.6;2631;0.03;-0.29;9.63;-6.88;0.39;-1.25;27.96;973.9;0.1
26071;32.00;40.6;0;-0.00;-0.44;9.65;-9.55;0.47;-1.10;28.00;973.9;0.0
26091;32.10;40.5;2575;0.09;-0.39;9.66;19.41;-0.77;6.06;28.03;973.9;0.0
26112;32.30;40.4;0;-0.02;-0.44;9.67;-1.49;1.56;2.01;28.07;973.9;0.1
26132;32.30;40.3;2588;-0.02;-0.42;9.65;-16.08;1.09;-1.79;28.10;973.8;0.1
26153;32.40;40.1;0;0.03;-0.45;9.62;1.42;0.28;1.40;28.14;973.9;0.1
26173;32.50;40.1;2563;-0.01;-0.40;9.79;10.84;0.43;2.92;28.16;973.9;0.1
26193;32.60;40.0;0;0.04;-0.45;9.61;20.11;0.21;5.18;28.20;973.8;0.1
26213;32.60;40.0;2613;-0.01;-0.42;9.56;23.68;0.31;6.14;28.25;973.8;0.1
26234;32.60;39.9;0;0.01;-0.40;9.61;16.36;0.62;4.28;28.28;973.8;0.1
26254;32.70;39.9;2656;0.03;-0.42;9.58;-0.25;0.05;0.95;28.32;973.8;0.1
26275;32.70;39.8;0;0.04;-0.40;9.57;-22.21;0.90;-4.17;28.35;973.8;0.1
26295;32.80;39.7;2663;0.06;-0.38;9.63;-23.42;0.59;-4.40;28.41;973.9;0.1
26316;32.70;39.9;0;0.01;-0.37;9.59;-13.85;0.86;-2.37;28.45;973.9;0.1
26336;32.70;39.9;2619;-0.00;-0.39;9.60;-7.98;0.72;-1.18;28.49;973.8;0.2
26357;32.70;39.9;0;-0.04;-0.33;9.67;0.87;0.44;1.09;28.53;973.9;0.2
26377;32.80;39.9;2594;0.03;-0.41;9.71;0.85;0.94;1.34;28.57;973.8;0.2
26398;32.80;40.0;0;0.06;-0.37;9.58;3.65;0.22;-2.95;28.62;973.8;0.2
26418;32.80;39.9;2531;0.03;-0.37;9.59;1.61;-2.13;-0.95;28.67;973.8;0.2
26439;32.80;40.0;0;0.06;-0.43;9.70;22.95;-1.65;9.21;28.71;973.8;0.2
26459;32.90;40.0;2481;-0.02;-0.40;9.54;1.24;0.52;1.18;28.75;973.8;0.2
26480;32.90;40.0;0;0.02;-0.32;9.59;4.09;1.29;0.25;28.80;973.8;0.1
26500;33.00;40.0;2475;0.03;-0.33;9.64;-15.04;0.57;-1.60;28.84;973.8;0.1
26521;33.00;39.9;0;0.10;-0.38;9.58;-19.76;0.37;-3.13;28.88;973.8;0.1
26541;33.10;39.9;2513;-0.01;-0.29;9.50;4.82;-2.02;2.08;28.92;973.8;0.1
26561;33.10;39.9;0;-0.03;-0.44;9.54;-16.72;0.03;-8.30;28.96;973.8;0.1
26582;33.10;39.8;2519;0.02;-0.42;9.55;14.18;-2.03;3.76;29.00;973.8;0.1
26602;33.20;39.8;0;0.00;-0.36;9.63;-8.03;0.83;2.19;29.04;973.8;0.1
26622;33.20;39.7;2519;0.04;-0.39;9.64;-25.00;0.51;-5.37;29.09;973.8;0.1
26643;33.30;39.7;0;-0.03;-0.35;9.63;-6.13;0.83;0.89;29.13;973.8;0.1
26663;33.30;39.6;2513;-0.00;-0.35;9.61;4.07;-3.53;1.23;29.16;973.8;0.1
26684;33.40;39.5;0;0.07;-0.41;9.62;-3.34;-1.26;1.70;29.20;973.8;0.0
26704;33.40;39.5;2544;-0.00;-0.35;9.63;-27.45;0.37;-5.53;29.23;973.8;0.0
26725;33.50;39.4;0;-0.03;-0.38;9.61;-21.59;0.88;-3.36;29.27;973.8;0.0
26745;33.50;39.3;2544;0.07;-0.37;9.65;2.52;0.62;1.35;29.31;973.8;0.0
26766;33.60;39.3;0;0.06;-0.44;9.56;-40.86;0.76;-7.59;29.35;973.7;0.0
26786;33.60;39.2;2625;0.03;-0.44;9.63;-18.32;-0.55;-2.08;29.38;973.8;0.0
26807;33.70;39.2;0;0.01;-0.44;9.58;5.45;-0.71;-0.59;29.41;973.8;0.0
26827;33.70;39.2;2656;0.01;-0.40;9.65;-4.40;-0.40;-2.11;29.46;973.8;0.0
26848;33.80;39.1;0;-0.05;-0.38;9.64;-3.00;2.28;0.76;29.48;973.8;0.0
26868;33.80;39.1;2644;-0.07;-0.38;9.66;17.01;5.97;3.16;29.52;973.7;0.0
26889;33.80;39.0;0;0.03;-0.38;9.63;-2.63;4.26;2.08;29.55;973.7;0.0
26909;33.80;38.9;2688;-0.07;-0.36;9.53;8.84;3.49;4.26;29.60;973.7;0.0
26929;33.90;39.0;0;0.09;-0.40;9.54;-13.38;1.45;-2.01;29.63;973.7;0.0
26950;33.90;38.8;2694;-0.01;-0.36;9.58;2.86;0.39;1.89;29.67;973.8;0.1
26970;33.90;38.9;0;0.01;-0.36;9.54;4.10;0.49;1.51;29.71;973.8;0.1
26990;34.00;38.8;2625;0.03;-0.38;9.57;-0.06;0.73;0.84;29.75;973.7;0.2
27011;34.00;38.8;0;-0.00;-0.41;9.56;1.34;0.81;1.06;29.79;973.8;0.2
27031;34.10;38.7;2613;-0.00;-0.35;9.53;8.26;0.73;3.04;29.82;973.8;0.2
27052;34.10;38.7;0;-0.01;-0.42;9.56;-2.58;0.78;0.80;29.88;973.8;0.2
27072;34.10;38.8;2594;-0.02;-0.41;9.60;-14.52;0.94;-2.16;29.91;973.8;0.2
27093;34.10;38.7;0;-0.03;-0.35;9.60;13.58;0.67;3.69;29.96;973.8;0.2
27113;34.20;38.8;2656;-0.01;-0.44;9.56;-7.35;0.18;-0.81;30.00;973.8;0.1
27134;34.20;38.7;0;0.02;-0.34;9.57;-19.26;1.01;-2.97;30.04;973.8;0.1
27154;34.20;38.7;2700;0.02;-0.43;9.56;7.19;0.73;2.19;30.07;973.9;0.1
27175;34.30;38.7;0;-0.01;-0.39;9.67;4.20;0.02;0.26;30.12;973.9;0.1
27195;34.30;38.7;2794;-0.00;-0.38;9.64;6.35;0.28;1.83;30.16;973.9;0.0
27216;34.30;38.7;0;-0.03;-0.41;9.55;-14.05;0.32;-2.54;30.20;973.8;0.0
27236;34.40;38.6;2788;0.03;-0.39;9.59;-21.26;-0.20;-4.27;30.24;973.8;0.1
27257;34.40;38.6;0;0.06;-0.37;9.65;17.74;-0.24;4.22;30.27;973.8;0.0
27277;34.40;38.6;2775;0.05;-0.37;9.62;11.51;0.36;3.02;30.33;973.8;0.0
27298;34.50;38.6;0;0.01;-0.40;9.54;-12.48;0.44;-2.10;30.38;973.8;0.1
27318;34.50;38.5;2894;0.05;-0.34;9.54;2.75;0.44;1.34;30.41;973.8;0.0
27338;34.60;38.5;0;0.05;-0.35;9.55;2.00;0.06;0.86;30.46;973.8;0.0
27358;34.60;38.4;2963;0.05;-0.36;9.55;1.47;0.00;1.24;30.50;973.8;0.0
27379;34.70;38.4;0;0.04;-0.41;9.58;-1.29;0.73;1.42;30.55;973.8;0.0
27399;34.70;38.3;2956;0.01;-0.38;9.51;6.91;0.08;2.18;30.59;973.8;0.0
27420;34.70;38.3;0;0.02;-0.39;9.51;2.95;0.51;1.63;30.62;973.8;0.1
27440;34.80;38.1;2900;0.04;-0.40;9.50;-3.01;0.25;0.15;30.68;973.7;0.1
27461;34.80;38.2;0;0.03;-0.37;9.61;-1.12;0.10;0.38;30.72;973.8;0.1
27481;34.90;38.2;2769;-0.02;-0.38;9.53;-9.52;1.10;-2.40;30.76;973.8;0.2
27502;34.90;38.1;0;-0.04;-0.45;9.59;15.95;0.44;1.68;30.81;973.8;0.2
27522;34.90;38.1;2813;0.03;-0.37;9.50;-9.35;1.57;-3.02;30.85;973.8;0.2
27543;35.00;38.1;0;0.07;-0.37;9.51;-9.19;0.60;-1.92;30.89;973.8;0.1
27563;35.00;38.0;2794;0.04;-0.44;9.53;9.35;0.99;4.02;30.93;973.8;0.1
27584;35.10;38.0;0;0.04;-0.32;9.59;7.43;0.79;2.60;30.98;973.8;0.1
27604;35.10;38.1;2731;-0.00;-0.37;9.55;-4.89;0.36;0.31;31.03;973.8;0.1
27625;35.20;37.9;0;0.06;-0.39;9.56;3.10;0.55;1.80;31.06;973.8;0.1
27645;35.20;37.9;2700;0.04;-0.34;9.59;0.98;-0.02;1.68;31.11;973.8;0.1
27666;35.20;37.9;0;-0.06;-0.36;9.61;-7.53;-1.52;0.21;31.14;973.8;0.1
27686;35.30;37.9;2656;-0.03;-0.36;9.55;8.36;1.49;11.70;31.18;973.8;0.1
27706;35.30;37.9;0;0.16;-0.51;9.63;-75.99;2.53;-13.91;31.23;973.8;0.1
27726;35.40;37.7;2688;-0.10;-0.46;9.52;-84.63;2.95;-13.93;31.28;973.8;0.0
27747;35.40;37.8;0;0.01;-0.38;9.49;-0.73;0.60;1.16;31.32;973.7;0.0
27767;35.40;37.7;2675;-0.04;-0.41;9.51;-20.06;-0.47;-5.85;31.34;973.7;0.0
27788;35.50;37.7;0;-0.09;-0.63;9.53;-93.85;4.43;-16.66;31.38;973.7;0.0
27808;35.50;37.6;2625;-0.01;-0.31;9.65;8.01;1.89;2.12;31.41;973.8;0.0
27829;35.50;37.6;0;-0.07;-0.39;9.60;-14.01;-1.93;-4.11;31.46;973.9;0.0
27849;35.50;37.4;2681;0.07;-0.45;9.48;9.45;0.44;3.99;31.47;973.9;0.0
27870;35.50;37.4;0;0.04;-0.30;9.59;-7.92;2.27;-2.05;31.50;973.8;0.0
27890;35.60;37.4;2688;0.03;-0.40;9.48;-0.81;1.61;-1.46;31.53;973.8;0.1
27911;35.60;37.3;0;0.04;-0.34;9.54;-5.83;1.07;-0.94;31.55;973.8;0.0
27931;35.60;37.3;2644;-0.04;-0.37;9.60;-19.55;1.34;-2.30;31.58;973.8;0.0
27952;35.60;37.2;0;-0.04;-0.41;9.58;-14.52;0.05;-2.20;31.59;973.8;0.0
27972;35.60;37.2;2663;0.01;-0.37;9.50;-2.77;-1.79;-0.95;31.63;973.9;0.1
27993;35.70;37.3;0;-0.00;-0.41;9.58;-0.42;2.49;2.57;31.64;973.8;0.0
28013;35.70;37.0;2700;0.03;-0.37;9.53;-0.55;6.38;7.21;31.67;973.9;0.0
28034;35.70;37.0;0;-0.05;-0.39;9.55;20.09;1.31;5.53;31.70;973.8;0.0
28054;35.70;37.1;2681;0.02;-0.38;9.57;10.97;2.09;3.98;31.72;973.8;0.1
28074;35.70;36.9;0;0.04;-0.40;9.52;7.56;1.39;3.75;31.74;973.8;0.1
28094;35.80;36.9;2656;0.05;-0.36;9.55;-5.33;0.14;-0.87;31.75;973.8;0.1
28115;35.80;37.0;0;-0.06;-0.41;9.54;32.28;8.11;-3.02;31.78;973.8;0.1
28135;35.80;36.9;2644;-0.02;-0.43;9.57;16.22;-0.24;4.46;31.79;973.7;0.1
28156;35.80;37.0;0;-0.01;-0.38;9.52;3.26;-0.13;0.14;31.83;973.7;0.1
28176;35.80;37.0;2613;-0.09;-0.40;9.47;-1.01;0.41;0.27;31.83;973.8;0.1
28197;35.80;37.0;0;0.05;-0.28;9.46;17.44;1.97;-5.10;31.85;973.7;0.1
28217;35.80;37.0;2581;-0.01;-0.37;9.52;-11.83;4.35;-5.65;31.87;973.8;0.1
28238;35.80;37.1;0;0.06;-0.42;9.51;-10.56;1.16;-5.08;31.89;973.8;0.1
28258;35.80;37.0;2613;0.11;-0.47;9.50;-6.73;-2.83;0.40;31.89;973.8;0.1
28279;35.80;37.0;0;-0.01;-0.44;9.59;-11.05;2.76;3.63;31.91;973.8;0.1
28299;35.80;36.9;2600;0.05;-0.39;9.53;-37.55;-0.30;-8.04;31.94;973.8;0.1
28320;35.80;36.9;0;0.01;-0.40;9.53;-5.83;1.67;1.73;31.94;973.7;0.1
28340;35.80;37.0;2606;-0.01;-0.39;9.60;-18.64;0.85;-2.67;31.96;973.8;0.1
28361;35.80;36.9;0;0.04;-0.40;9.39;11.03;0.38;1.97;31.98;973.8;0.1
28381;35.90;37.0;2606;-0.03;-0.43;9.52;2.12;-0.60;-0.32;31.98;973.8;0.1
28402;35.90;36.9;0;0.08;-0.39;9.54;-0.27;-0.14;2.41;32.00;973.8;0.1
28422;35.90;36.9;2675;0.03;-0.35;9.48;1.97;0.31;1.17;32.01;973.8;0.1
28442;35.90;36.8;0;0.08;-0.40;9.56;-7.39;-0.20;-0.92;32.02;973.8;0.1
28463;35.90;36.7;2656;0.06;-0.39;9.59;2.98;0.70;1.47;32.03;973.7;0.1
28483;35.90;36.7;0;-0.02;-0.38;9.51;12.49;0.39;3.65;32.04;973.7;0.1
28503;35.90;36.8;2663;0.01;-0.40;9.54;14.57;0.17;4.31;32.05;973.8;0.1
28524;36.00;36.7;0;-0.02;-0.46;9.57;12.83;0.80;3.67;32.06;973.7;0.1
28544;36.00;36.7;2700;0.03;-0.38;9.59;2.50;0.44;0.97;32.08;973.7;0.1
28565;36.00;36.8;0;-0.00;-0.41;9.58;-11.56;1.03;-1.70;32.09;973.7;0.1
28585;36.00;36.8;2706;0.00;-0.46;9.58;6.16;0.49;2.63;32.10;973.7;0.1
28606;36.00;36.8;0;0.06;-0.37;9.52;-5.82;0.52;-0.37;32.10;973.7;0.1
28626;35.90;36.9;2719;-0.05;-0.42;9.52;5.67;0.00;2.03;32.12;973.8;0.1
28647;36.00;36.9;0;-0.10;-0.40;9.57;-8.08;0.54;-0.94;32.11;973.8;0.1
28667;35.90;36.9;2713;0.01;-0.40;9.43;-18.79;0.35;-2.65;32.13;973.7;0.1
28688;35.90;36.9;0;-0.07;-0.39;9.57;-10.31;0.55;-1.69;32.13;973.7;0.1
28708;35.90;36.9;2669;0.02;-0.40;9.57;-28.52;0.97;-6.75;32.15;973.8;0.1
28729;36.00;36.9;0;-0.03;-0.37;9.55;-7.74;1.51;-0.61;32.16;973.8;0.1
28749;36.00;36.9;2638;0.03;-0.44;9.60;-17.93;1.33;-4.72;32.17;973.7;0.1
28770;36.00;36.9;0;0.01;-0.36;9.46;5.09;-0.69;0.85;32.18;973.8;0.1
28790;36.00;36.9;2600;-0.03;-0.40;9.54;2.10;1.41;5.12;32.18;973.7;0.1
28810;36.00;36.9;0;-0.04;-0.44;9.52;1.36;0.34;0.72;32.20;973.8;0.1
28831;35.90;36.9;2606;0.02;-0.46;9.68;-0.10;0.26;-0.72;32.20;973.8;0.1
28851;35.90;36.8;0;0.02;-0.41;9.59;6.59;1.17;2.46;32.20;973.8;0.1
28871;36.00;36.7;2631;0.12;-0.31;9.50;11.80;-0.14;-3.46;32.20;973.8;0.0
28892;36.00;36.8;0;0.01;-0.48;9.50;59.71;0.29;19.95;32.21;973.8;0.1
28912;35.90;36.8;2588;0.03;-0.40;9.57;8.38;-2.07;-0.09;32.21;973.8;0.0
28933;35.90;36.7;0;0.02;-0.38;9.47;-10.81;0.93;-3.53;32.20;973.7;0.1
28953;35.90;36.7;2588;0.00;-0.37;9.56;-22.70;1.03;-4.38;32.21;973.8;0.1
28974;35.90;36.7;0;0.03;-0.45;9.57;-22.60;-5.84;-5.03;32.21;973.7;0.1
28994;35.90;36.7;2575;0.01;-0.40;9.55;-12.83;-0.13;-5.03;32.20;973.7;0.1
29015;35.90;36.8;0;0.01;-0.36;9.53;-14.90;0.99;2.05;32.20;973.8;0.1
29035;35.90;36.7;2550;0.01;-0.42;9.55;0.38;1.19;-0.80;32.20;973.7;0.1
29056;35.90;36.8;0;0.03;-0.40;9.53;3.44;-0.69;0.22;32.20;973.7;0.1
29076;35.90;36.8;2569;-0.01;-0.45;9.58;5.29;1.62;1.80;32.19;973.7;0.1
29097;35.80;36.8;0;-0.16;-0.41;9.43;55.81;0.79;8.69;32.18;973.7;0.1
29117;35.80;36.8;2513;0.02;-0.41;9.56;-35.01;-4.33;-10.59;32.18;973.7;0.1
29138;35.80;36.8;0;0.03;-0.37;9.58;-32.96;-1.27;-8.27;32.18;973.7;0.1
29158;35.80;36.8;2525;-0.05;-0.45;9.49;44.42;-3.08;5.98;32.17;973.8;0.1
29179;35.80;36.9;0;0.01;-0.29;9.49;-3.19;-0.64;-0.30;32.17;973.8;0.1
29199;35.70;36.9;2519;0.00;-0.43;9.56;-12.82;0.17;-1.66;32.16;973.8;0.1
29219;35.70;36.9;0;0.11;-0.35;9.57;-10.00;2.18;-0.99;32.15;973.7;0.1
29239;35.70;36.9;2531;0.04;-0.37;9.52;2.52;-1.95;-2.07;32.14;973.8;0.1
29260;35.70;37.0;0;-0.03;-0.44;9.48;12.72;-1.17;-1.38;32.13;973.7;0.1
29280;35.70;37.0;2513;0.04;-0.39;9.53;-3.73;-0.63;-0.62;32.12;973.7;0.1
29301;35.60;37.0;0;0.04;-0.45;9.59;1.07;1.09;1.12;32.12;973.6;0.1
29321;35.60;37.0;2513;-0.06;-0.40;9.61;-0.81;0.27;1.06;32.11;973.7;0.1
29342;35.60;37.1;0;-0.07;-0.35;9.52;-5.39;0.77;-0.55;32.10;973.6;0.1
29362;35.60;37.1;2519;-0.03;-0.38;9.58;6.99;-0.02;2.65;32.09;973.7;0.1
29383;35.60;37.1;0;-0.01;-0.44;9.55;2.65;-0.01;0.90;32.08;973.8;0.1
29403;35.50;37.2;2550;-0.03;-0.45;9.53;3.58;0.49;1.76;32.08;973.7;0.1
29424;35.50;37.1;0;0.01;-0.45;9.50;-16.90;1.71;-1.47;32.08;973.7;0.1
29444;35.50;37.1;2544;-0.02;-0.50;9.53;4.46;0.68;0.39;32.06;973.8;0.1
29465;35.50;37.1;0;0.07;-0.41;9.52;-0.83;-3.59;1.31;32.05;973.8;0.1
29485;35.50;37.1;2488;0.04;-0.43;9.54;13.03;-1.67;0.53;32.04;973.8;0.1
29506;35.50;37.2;0;-0.05;-0.46;9.50;-28.51;1.79;-6.46;32.03;973.7;0.1
29526;35.40;37.2;2506;0.04;-0.39;9.51;-2.29;-1.27;1.16;32.02;973.7;0.1
29547;35.40;37.2;0;0.03;-0.37;9.58;-8.09;-1.13;0.02;32.01;973.8;0.1
29567;35.40;37.3;2513;0.01;-0.46;9.50;3.12;-0.11;1.80;32.00;973.7;0.1
29587;35.40;37.3;0;0.01;-0.44;9.57;-5.17;0.79;0.23;32.01;973.8;0.1
29608;35.40;37.3;2513;0.02;-0.41;9.53;12.07;0.13;2.98;32.00;973.8;0.1
29628;35.40;37.3;0;0.12;-0.42;9.56;6.72;-0.65;1.93;31.98;973.8;0.1
29648;35.40;37.3;2538;0.01;-0.44;9.65;3.48;1.75;3.39;31.98;973.7;0.1
29669;35.30;37.4;0;0.02;-0.40;9.52;-2.12;0.41;0.22;31.98;973.7;0.1
29689;35.30;37.4;2581;0.03;-0.46;9.54;-15.46;0.15;-3.36;31.97;973.7;0.1
29710;35.30;37.3;0;0.01;-0.38;9.46;-3.03;0.31;0.45;31.97;973.8;0.1
29730;35.30;37.4;2544;0.02;-0.36;9.44;2.04;0.15;1.50;31.94;973.8;0.1
29751;35.30;37.4;0;0.01;-0.39;9.56;-4.76;1.23;0.81;31.95;973.7;0.1
29771;35.30;37.4;2531;-0.03;-0.37;9.49;8.90;-0.13;2.02;31.94;973.7;0.1
29792;35.30;37.4;0;0.04;-0.40;9.45;1.48;2.60;1.26;31.92;973.7;0.1
29812;35.20;37.5;2475;-0.02;-0.39;9.53;36.91;2.55;5.60;31.92;973.8;0.1
29833;35.20;37.4;0;-0.00;-0.39;9.52;-3.16;-0.79;0.21;31.91;973.8;0.1
29853;35.20;37.4;2506;0.02;-0.43;9.54;-13.74;1.12;-1.03;31.91;973.7;0.1
29874;35.20;37.4;0;0.01;-0.35;9.56;-4.39;0.43;0.01;31.90;973.7;0.1
29894;35.20;37.5;2556;-0.03;-0.40;9.54;18.14;-0.13;4.67;31.90;973.7;0.1
29915;35.20;37.5;0;-0.01;-0.40;9.59;19.81;0.68;5.00;31.90;973.7;0.1
29935;35.20;37.5;2563;-0.04;-0.37;9.53;14.95;-0.22;4.45;31.89;973.7;0.1
29955;35.20;37.5;0;-0.03;-0.39;9.59;5.98;0.37;2.69;31.88;973.7;0.1
29976;35.20;37.6;2606;0.01;-0.37;9.46;-3.60;0.35;-0.56;31.88;973.7;0.1
29996;35.20;37.5;0;-0.03;-0.44;9.59;-12.91;0.30;-2.37;31.88;973.7;0.1
30016;35.20;37.5;2606;-0.02;-0.41;9.61;-11.42;0.76;-1.51;31.87;973.7;0.1
30037;35.20;37.6;0;-0.03;-0.36;9.54;-16.70;0.84;-2.93;31.88;973.7;0.1
30057;35.10;37.6;2613;-0.02;-0.36;9.52;1.84;0.86;0.74;31.87;973.7;0.1
30078;35.20;37.7;0;0.01;-0.44;9.62;13.21;1.14;4.71;31.88;973.6;0.1
30098;35.20;37.7;2600;-0.03;-0.45;9.47;-4.06;1.86;-0.95;31.88;973.7;0.1
30119;35.20;37.7;0;-0.00;-0.35;9.56;1.94;0.28;2.11;31.87;973.7;0.1
30139;35.10;37.7;2575;0.07;-0.46;9.44;-0.70;0.93;2.15;31.87;973.7;0.1
30160;35.20;37.7;0;-0.01;-0.38;9.61;12.23;0.19;3.98;31.88;973.7;0.1
30180;35.20;37.7;2544;-0.13;-0.36;9.48;-7.13;0.47;-2.72;31.89;973.7;0.1
30201;35.20;37.7;0;-0.01;-0.41;9.60;19.71;1.05;5.15;31.88;973.6;0.1
30221;35.20;37.7;2581;-0.06;-0.38;9.64;3.58;-0.17;2.09;31.88;973.7;0.1
30242;35.20;37.7;0;0.00;-0.48;9.55;-26.79;1.02;-5.39;31.90;973.7;0.1
30262;35.20;37.7;2569;-0.01;-0.33;9.58;-4.79;-0.77;-0.78;31.89;973.7;0.1
30283;35.20;37.7;0;0.04;-0.35;9.65;53.92;-5.51;13.56;31.90;973.7;0.1
30303;35.20;37.7;2569;0.08;-0.46;9.50;21.84;2.55;6.38;31.91;973.7;0.1
30324;35.20;37.6;0;0.04;-0.38;9.51;-13.96;-1.71;-4.66;31.92;973.6;0.1
30344;35.20;37.7;2569;0.17;-0.40;9.59;6.83;1.90;5.38;31.92;973.6;0.1
30364;35.20;37.7;0;0.02;-0.34;9.51;15.42;-0.75;3.60;31.94;973.6;0.1
30384;35.20;37.7;2575;0.01;-0.42;9.58;-13.13;0.55;-3.65;31.92;973.6;0.1
30405;35.20;37.7;0;0.02;-0.41;9.61;-20.26;0.63;-3.01;31.94;973.7;0.1
30425;35.30;37.7;2613;-0.03;-0.43;9.49;-32.88;0.93;-6.88;31.95;973.6;0.1
30446;35.30;37.6;0;0.03;-0.42;9.56;-23.79;0.96;-4.85;31.95;973.6;0.1
30466;35.30;37.7;2625;-0.00;-0.43;9.65;10.57;0.16;2.79;31.95;973.6;0.1
30487;35.30;37.6;0;-0.03;-0.41;9.52;-11.21;1.24;-1.82;31.96;973.6;0.1
30507;35.30;37.6;2663;0.01;-0.37;9.65;3.48;0.36;1.25;31.97;973.6;0.0
30528;35.30;37.6;0;0.04;-0.43;9.57;-3.32;0.06;0.38;31.99;973.7;0.1
30548;35.30;37.7;2681;0.04;-0.39;9.53;-0.03;0.58;0.26;31.99;973.7;0.1
30569;35.30;37.6;0;0.02;-0.39;9.52;4.52;0.73;1.30;32.01;973.7;0.1
30589;35.30;37.6;2775;0.02;-0.40;9.59;-4.32;0.59;-0.24;32.01;973.7;0.1
30610;35.30;37.6;0;0.04;-0.38;9.56;-3.33;0.51;0.29;32.03;973.7;0.1
30630;35.30;37.6;2788;0.03;-0.41;9.62;-14.64;0.25;-3.10;32.04;973.7;0.1
30651;35.30;37.6;0;-0.01;-0.38;9.55;-1.03;0.33;0.96;32.05;973.7;0.1
30671;35.30;37.6;2806;-0.00;-0.46;9.56;7.16;0.44;2.56;32.06;973.7;0.1
30692;35.40;37.6;0;0.01;-0.35;9.53;-8.83;-0.20;2.71;32.09;973.8;0.1
30712;35.40;37.5;2706;0.00;-0.59;9.75;109.00;-1.07;26.78;32.09;973.7;0.2
30732;35.40;37.6;0;0.02;-0.44;9.52;12.71;2.35;3.01;32.10;973.6;0.1
30752;35.40;37.6;2688;0.01;-0.44;9.57;-36.31;-0.85;-7.68;32.13;973.7;0.1
30773;35.40;37.5;0;-0.04;-0.35;9.51;-23.16;0.47;-4.62;32.14;973.6;0.1
30793;35.40;37.6;2669;-0.02;-0.43;9.59;-19.45;0.73;-3.69;32.14;973.6;0.1
30814;35.50;37.6;0;-0.03;-0.40;9.56;-16.84;0.81;-2.51;32.16;973.7;0.1
30834;35.50;37.6;2681;-0.01;-0.38;9.57;-22.56;0.80;-4.37;32.18;973.6;0.1
30855;35.50;37.6;0;0.05;-0.36;9.65;-23.08;1.17;-4.08;32.18;973.6;0.1
30875;35.50;37.6;2656;0.07;-0.32;9.58;-6.91;-0.32;0.96;32.21;973.6;0.1
30896;35.60;37.4;0;-0.02;-0.44;9.51;20.54;-1.22;9.76;32.22;973.7;0.1
30916;35.60;37.5;2650;0.01;-0.41;9.62;27.63;3.76;-4.81;32.24;973.6;0.0
30937;35.60;37.4;0;0.01;-0.41;9.57;7.99;-2.96;1.00;32.25;973.7;0.1
30957;35.60;37.4;2631;0.00;-0.37;9.68;-42.84;0.93;-7.04;32.26;973.7;0.0
30978;35.60;37.3;0;-0.04;-0.35;9.52;5.62;1.69;2.02;32.27;973.6;0.1
30998;35.60;37.4;2613;0.00;-0.43;9.49;-15.79;1.40;-6.62;32.29;973.6;0.1
31019;35.60;37.3;0;0.04;-0.31;9.49;1.23;-0.24;-5.66;32.31;973.7;0.1
31039;35.70;37.4;2569;0.04;-0.36;9.54;-8.19;-4.96;-4.58;32.33;973.7;0.1
31060;35.70;37.3;0;-0.06;-0.46;9.55;16.79;-0.18;3.21;32.34;973.6;0.1
